station_name,street_address,city,state,zip,ev_level1_evse_num,ev_level2_evse_num,ev_dc_fast_count,ev_network,ev_connector_types,access_code,access_detail_code,facility_type
LADWP - Truesdale Center,11797 Truesdale St,Sun Valley,CA,91352,,57,2,SHELL_RECHARGE,CHADEMO J1772 J1772COMBO,private,Unknown,UTILITY
Los Angeles Convention Center,1201 S Figueroa St,Los Angeles,CA,90015,,7,,Non-Networked,J1772,public,Unknown,PARKING_GARAGE
LADWP - John Ferraro Building,111 N Hope St,Los Angeles,CA,90012,,338,12,Non-Networked,CHADEMO J1772 J1772COMBO,private,Unknown,UTILITY
LADWP - Haynes Power Plant,6801 E 2nd St,Long Beach,CA,90803,,19,1,Non-Networked,CHADEMO J1772 J1772COMBO,private,Unknown,UTILITY
LADWP - Harbor Generating Station,161 N Island Ave,Wilmington,CA,90744,,10,,Non-Networked,J1772,private,Unknown,UTILITY
LADWP - Sylmar West,13201 Sepulveda Blvd,Sylmar,CA,91342,,2,,Non-Networked,J1772,private,GOVERNMENT,UTILITY
LADWP - EV Service Center,1630 N Main St,Los Angeles,CA,90012,,46,1,Non-Networked,CHADEMO J1772,private,Unknown,UTILITY
LADWP - Fairfax Center,2311 S Fairfax Ave,Los Angeles,CA,90016,,13,,Non-Networked,J1772,private,Unknown,UTILITY
California Air Resources Board,9530 Telstar Ave,El Monte,CA,91731,,3,,Non-Networked,J1772,public,Unknown,STATE_GOV
LADWP - Palmetto Center,1212 Palmetto St,Los Angeles,CA,90013,,27,,Non-Networked,J1772,private,Unknown,UTILITY
Scripps Green Hospital,10666 N Torrey Pines Rd,La Jolla,CA,92037,,1,,Non-Networked,J1772,public,Unknown,HOSPITAL
Galpin Motors,15421 Roscoe Blvd,Sepulveda,CA,91343,,2,,Non-Networked,J1772,public,CALL,CAR_DEALER
Galleria at Tyler,1299 Galleria at Tyler,Riverside,CA,92503,,4,,Non-Networked,J1772,public,Unknown,SHOPPING_MALL
City of Pasadena - Holly Street Garage,150 E Holly St,Pasadena,CA,91103,,16,,Non-Networked,J1772,public,Unknown,PARKING_GARAGE
City of Pasadena - De Lacey Garage,45 De Lacey Ave,Pasadena,CA,91105,,2,,Non-Networked,J1772,public,Unknown,PARKING_GARAGE
City of Pasadena - Schoolhouse Garage,33 E Green St,Pasadena,CA,91105,,3,,Non-Networked,J1772,public,Unknown,PARKING_GARAGE
Bristol Farms,606 Fair Oaks Ave,South Pasadena,CA,91030,,,,Non-Networked,,public,Unknown,GROCERY
Hyatt Regency Long Beach,200 S Pine Ave,Long Beach,CA,90802,,1,,Non-Networked,J1772,public,Unknown,HOTEL
Los Angeles International Airport (LAX) - Lot 6,1 World Way,Los Angeles,CA,90045,,20,,Non-Networked,J1772,public,Unknown,AIRPORT
Northridge Fashion Center East Garage Lower Level,9301 Tampa Ave,Northridge,CA,91324,,5,,Volta,J1772,public,Unknown,
Ontario Airport Hotel and Conference Center,700 N Haven Ave,Ontario,CA,91764,,1,,Non-Networked,J1772,public,Unknown,HOTEL
Courtyard Marriott - Oxnard Ventura,600 E Esplanade Dr,Oxnard,CA,93030,,1,,Non-Networked,J1772,public,Unknown,HOTEL
Hilton - Palm Springs,400 E Tahquitz Canyon Way,Palm Springs,CA,92262,,2,,Non-Networked,J1772,public,Unknown,HOTEL
Inland Empire Foods,5425 Wilson St,Riverside,CA,92509,,3,,Non-Networked,J1772,public,Unknown,OFFICE_BLDG
Sacramento International Airport - Daily A Lot,Lindbergh Dr,Sacramento,CA,95837,,4,,Non-Networked,J1772,public,Unknown,AIRPORT
City of Santa Monica - Airport,3223 Donald Douglas Loop,Santa Monica,CA,90405,,2,,Non-Networked,J1772,public,Unknown,AIRPORT
City of Santa Monica - Pier,200 Santa Monica Pier,Santa Monica,CA,90405,,3,,Non-Networked,J1772,public,Unknown,MUNI_GOV
